"Título do Desenho: controle 4"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055112, SEN S/N: 20055112)","Intensidade, Lux (LGR S/N: 20055112, SEN S/N: 20055112)","Acoplador Desligado (LGR S/N: 20055112)","Acoplador Ligado (LGR S/N: 20055112)","Anfitrião Ligado (LGR S/N: 20055112)","Parado (LGR S/N: 20055112)","Fim Do Ficheiro (LGR S/N: 20055112)"
104,11/22/22 09h50min1s,26.292,2497.2,,,,,
105,11/22/22 09h51min1s,26.292,2927.8,,,,,
106,11/22/22 09h52min1s,26.292,3788.9,,,,,
107,11/22/22 09h53min1s,26.390,3961.1,,,,,
108,11/22/22 09h54min1s,26.390,3100.0,,,,,
109,11/22/22 09h55min1s,26.390,3788.9,,,,,
110,11/22/22 09h56min1s,26.390,4133.4,,,,,
111,11/22/22 09h57min1s,26.390,3272.2,,,,,
112,11/22/22 09h58min1s,26.390,4133.4,,,,,
113,11/22/22 09h59min1s,26.390,3616.7,,,,,
114,11/22/22 10h0min1s,26.390,3616.7,,,,,
115,11/22/22 10h1min1s,26.390,5511.1,,,,,
116,11/22/22 10h2min1s,26.488,2497.2,,,,,
117,11/22/22 10h3min1s,26.488,3961.1,,,,,
118,11/22/22 10h4min1s,26.488,5166.7,,,,,
119,11/22/22 10h5min1s,26.390,2411.1,,,,,
120,11/22/22 10h6min1s,26.390,2152.8,,,,,
121,11/22/22 10h7min1s,26.390,2325.0,,,,,
122,11/22/22 10h8min1s,26.390,2669.5,,,,,
123,11/22/22 10h9min1s,26.390,2755.6,,,,,
124,11/22/22 10h10min1s,26.390,2411.1,,,,,
125,11/22/22 10h11min1s,26.390,2152.8,,,,,
126,11/22/22 10h12min1s,26.390,2497.2,,,,,
127,11/22/22 10h13min1s,26.390,2755.6,,,,,
128,11/22/22 10h14min1s,26.390,2755.6,,,,,
129,11/22/22 10h15min1s,26.390,2325.0,,,,,
130,11/22/22 10h16min1s,26.488,4994.5,,,,,
131,11/22/22 10h17min1s,26.585,7233.4,,,,,
132,11/22/22 10h18min1s,26.683,5166.7,,,,,
133,11/22/22 10h19min1s,26.781,9644.5,,,,,
134,11/22/22 10h20min1s,26.683,904.2,,,,,
135,11/22/22 10h21min1s,26.390,1001.0,,,,,
136,11/22/22 10h22min1s,26.292,1001.0,,,,,
137,11/22/22 10h23min1s,26.097,850.4,,,,,
138,11/22/22 10h24min1s,26.000,1162.5,,,,,
139,11/22/22 10h25min1s,25.902,1291.7,,,,,
140,11/22/22 10h26min1s,25.805,1463.9,,,,,
141,11/22/22 10h27min1s,25.708,2238.9,,,,,
142,11/22/22 10h28min1s,25.610,344.4,,,,,
143,11/22/22 10h29min1s,25.708,8266.7,,,,,
144,11/22/22 10h30min1s,25.805,2238.9,,,,,
145,11/22/22 10h31min1s,25.708,2927.8,,,,,
146,11/22/22 10h32min1s,25.708,2669.5,,,,,
147,11/22/22 10h33min1s,25.708,3100.0,,,,,
148,11/22/22 10h34min1s,25.805,839.6,,,,,
149,11/22/22 10h35min1s,25.708,904.2,,,,,
150,11/22/22 10h36min1s,26.292,1162.5,,,,,
151,11/22/22 10h37min1s,26.585,3444.5,,,,,
152,11/22/22 10h38min1s,26.781,3444.5,,,,,
153,11/22/22 10h39min1s,27.075,882.6,,,,,
154,11/22/22 10h39min9s,,,,Registado,,,
155,11/22/22 10h39min14s,,,,,Registado,,
156,11/22/22 10h39min28s,,,,,,Registado,Registado
