"Título do Desenho: controle 4"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055112, SEN S/N: 20055112)","Intensidade, Lux (LGR S/N: 20055112, SEN S/N: 20055112)","Acoplador Ligado (LGR S/N: 20055112)","Anfitrião Ligado (LGR S/N: 20055112)","Parado (LGR S/N: 20055112)","Fim Do Ficheiro (LGR S/N: 20055112)"
1,11/21/22 10h0min0s,25.028,2669.5,,,,
2,11/21/22 10h1min0s,25.028,2669.5,,,,
3,11/21/22 10h2min0s,25.125,2497.2,,,,
4,11/21/22 10h3min0s,25.125,2497.2,,,,
5,11/21/22 10h4min0s,25.125,2411.1,,,,
6,11/21/22 10h5min0s,25.125,1980.6,,,,
7,11/21/22 10h6min0s,25.125,1894.5,,,,
8,11/21/22 10h7min0s,25.125,1980.6,,,,
9,11/21/22 10h8min0s,25.125,2066.7,,,,
10,11/21/22 10h9min0s,25.125,2066.7,,,,
11,11/21/22 10h10min0s,25.028,2066.7,,,,
12,11/21/22 10h11min0s,25.028,2152.8,,,,
13,11/21/22 10h12min0s,25.028,1894.5,,,,
14,11/21/22 10h13min0s,25.028,1894.5,,,,
15,11/21/22 10h14min0s,25.028,1808.3,,,,
16,11/21/22 10h15min0s,24.931,2066.7,,,,
17,11/21/22 10h16min0s,24.931,2325.0,,,,
18,11/21/22 10h17min0s,25.028,2669.5,,,,
19,11/21/22 10h18min0s,25.028,2669.5,,,,
20,11/21/22 10h19min0s,25.028,2497.2,,,,
21,11/21/22 10h20min0s,25.125,2325.0,,,,
22,11/21/22 10h21min0s,25.125,2066.7,,,,
23,11/21/22 10h22min0s,25.028,2066.7,,,,
24,11/21/22 10h23min0s,25.028,1894.5,,,,
25,11/21/22 10h24min0s,25.028,1722.2,,,,
26,11/21/22 10h25min0s,25.028,1980.6,,,,
27,11/21/22 10h26min0s,25.028,2325.0,,,,
28,11/21/22 10h27min0s,25.028,2927.8,,,,
29,11/21/22 10h28min0s,25.028,2755.6,,,,
30,11/21/22 10h29min0s,25.028,2927.8,,,,
31,11/21/22 10h30min0s,25.125,2927.8,,,,
32,11/21/22 10h31min0s,25.125,3100.0,,,,
33,11/21/22 10h32min0s,25.125,2927.8,,,,
34,11/21/22 10h33min0s,25.125,2927.8,,,,
35,11/21/22 10h34min0s,25.125,2927.8,,,,
36,11/21/22 10h35min0s,25.222,2927.8,,,,
37,11/21/22 10h36min0s,25.222,2927.8,,,,
38,11/21/22 10h37min0s,25.222,2927.8,,,,
39,11/21/22 10h38min0s,25.319,2411.1,,,,
40,11/21/22 10h39min0s,25.319,2411.1,,,,
41,11/21/22 10h40min0s,25.319,2325.0,,,,
42,11/21/22 10h41min0s,25.416,2238.9,,,,
43,11/21/22 10h42min0s,25.416,2152.8,,,,
44,11/21/22 10h43min0s,25.416,2152.8,,,,
45,11/21/22 10h44min0s,25.416,2066.7,,,,
46,11/21/22 10h45min0s,25.416,2152.8,,,,
47,11/21/22 10h46min0s,25.416,1980.6,,,,
48,11/21/22 10h47min0s,25.416,1980.6,,,,
