"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, lum/ft² (LGR S/N: 20055113, SEN S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
2510,11/24/22 01h49min0s,26.390,0.0,
2511,11/24/22 01h50min0s,26.390,0.0,
2512,11/24/22 01h51min0s,26.390,0.0,
2513,11/24/22 01h52min0s,26.390,0.0,
2514,11/24/22 01h53min0s,26.390,0.0,
2515,11/24/22 01h54min0s,26.390,0.0,
2516,11/24/22 01h55min0s,26.390,0.0,
2517,11/24/22 01h56min0s,26.390,0.0,
2518,11/24/22 01h57min0s,26.390,0.0,
2519,11/24/22 01h58min0s,26.390,0.0,
2520,11/24/22 01h59min0s,26.390,0.0,
2521,11/24/22 02h0min0s,26.390,0.0,
2522,11/24/22 02h1min0s,26.390,0.0,
2523,11/24/22 02h2min0s,26.390,0.0,
2524,11/24/22 02h3min0s,26.390,0.0,
2525,11/24/22 02h4min0s,26.390,0.0,
2526,11/24/22 02h5min0s,26.390,0.0,
2527,11/24/22 02h6min0s,26.390,0.0,
2528,11/24/22 02h7min0s,26.390,0.0,
2529,11/24/22 02h8min0s,26.390,0.0,
2530,11/24/22 02h9min0s,26.390,0.0,
2531,11/24/22 02h10min0s,26.390,0.0,
2532,11/24/22 02h11min0s,26.390,0.0,
2533,11/24/22 02h12min0s,26.390,0.0,
2534,11/24/22 02h13min0s,26.390,0.0,
2535,11/24/22 02h14min0s,26.292,0.0,
2536,11/24/22 02h15min0s,26.292,0.0,
2537,11/24/22 02h16min0s,26.292,0.0,
2538,11/24/22 02h17min0s,26.292,0.0,
2539,11/24/22 02h18min0s,26.292,0.0,
2540,11/24/22 02h19min0s,26.292,0.0,
2541,11/24/22 02h20min0s,26.292,0.0,
2542,11/24/22 02h21min0s,26.292,0.0,
2543,11/24/22 02h22min0s,26.292,0.0,
2544,11/24/22 02h23min0s,26.292,0.0,
2545,11/24/22 02h24min0s,26.292,0.0,
2546,11/24/22 02h25min0s,26.292,0.0,
2547,11/24/22 02h26min0s,26.292,0.0,
2548,11/24/22 02h27min0s,26.292,0.0,
2549,11/24/22 02h28min0s,26.292,0.0,
2550,11/24/22 02h29min0s,26.292,0.0,
2551,11/24/22 02h30min0s,26.292,0.0,
2552,11/24/22 02h31min0s,26.292,0.0,
2553,11/24/22 02h32min0s,26.292,0.0,
2554,11/24/22 02h33min0s,26.292,0.0,
2555,11/24/22 02h34min0s,26.292,0.0,
2556,11/24/22 02h35min0s,26.292,0.0,
2557,11/24/22 02h36min0s,26.292,0.0,
2558,11/24/22 02h37min0s,26.292,0.0,
2559,11/24/22 02h38min0s,26.292,0.0,
2560,11/24/22 02h39min0s,26.292,0.0,
2561,11/24/22 02h40min0s,26.292,0.0,
2562,11/24/22 02h41min0s,26.292,0.0,
2563,11/24/22 02h42min0s,26.292,0.0,
2564,11/24/22 02h43min0s,26.292,0.0,
2565,11/24/22 02h44min0s,26.292,0.0,
2566,11/24/22 02h45min0s,26.292,0.0,
2567,11/24/22 02h46min0s,26.292,0.0,
2568,11/24/22 02h47min0s,26.292,0.0,
2569,11/24/22 02h48min0s,26.292,0.0,
2570,11/24/22 02h49min0s,26.292,0.0,
2571,11/24/22 02h50min0s,26.292,0.0,
2572,11/24/22 02h51min0s,26.292,0.0,
2573,11/24/22 02h52min0s,26.292,0.0,
2574,11/24/22 02h53min0s,26.292,0.0,
2575,11/24/22 02h54min0s,26.292,0.0,
2576,11/24/22 02h55min0s,26.292,0.0,
2577,11/24/22 02h56min0s,26.292,0.0,
2578,11/24/22 02h57min0s,26.292,0.0,
2579,11/24/22 02h58min0s,26.292,0.0,
2580,11/24/22 02h59min0s,26.292,0.0,
2581,11/24/22 03h0min0s,26.292,0.0,
2582,11/24/22 03h1min0s,26.292,0.0,
2583,11/24/22 03h2min0s,26.292,0.0,
2584,11/24/22 03h3min0s,26.195,0.0,
2585,11/24/22 03h4min0s,26.195,0.0,
2586,11/24/22 03h5min0s,26.195,0.0,
2587,11/24/22 03h6min0s,26.195,0.0,
2588,11/24/22 03h7min0s,26.195,0.0,
2589,11/24/22 03h8min0s,26.195,0.0,
2590,11/24/22 03h9min0s,26.195,0.0,
2591,11/24/22 03h10min0s,26.195,0.0,
2592,11/24/22 03h11min0s,26.195,0.0,
2593,11/24/22 03h12min0s,26.195,0.0,
2594,11/24/22 03h13min0s,26.195,0.0,
2595,11/24/22 03h14min0s,26.195,0.0,
2596,11/24/22 03h15min0s,26.195,0.0,
2597,11/24/22 03h16min0s,26.195,0.0,
2598,11/24/22 03h17min0s,26.195,0.0,
2599,11/24/22 03h18min0s,26.195,0.0,
2600,11/24/22 03h19min0s,26.195,0.0,
2601,11/24/22 03h20min0s,26.195,0.0,
2602,11/24/22 03h21min0s,26.195,0.0,
2603,11/24/22 03h22min0s,26.195,0.0,
2604,11/24/22 03h23min0s,26.195,0.0,
2605,11/24/22 03h24min0s,26.195,0.0,
2606,11/24/22 03h25min0s,26.195,0.0,
2607,11/24/22 03h26min0s,26.195,0.0,
2608,11/24/22 03h27min0s,26.195,0.0,
2609,11/24/22 03h28min0s,26.195,0.0,
2610,11/24/22 03h29min0s,26.195,0.0,
2611,11/24/22 03h30min0s,26.195,0.0,
2612,11/24/22 03h31min0s,26.195,0.0,
2613,11/24/22 03h32min0s,26.195,0.0,
2614,11/24/22 03h33min0s,26.195,0.0,
2615,11/24/22 03h34min0s,26.195,0.0,
2616,11/24/22 03h35min0s,26.195,0.0,
2617,11/24/22 03h36min0s,26.195,0.0,
2618,11/24/22 03h37min0s,26.195,0.0,
2619,11/24/22 03h38min0s,26.195,0.0,
2620,11/24/22 03h39min0s,26.195,0.0,
2621,11/24/22 03h40min0s,26.195,0.0,
2622,11/24/22 03h41min0s,26.195,0.0,
2623,11/24/22 03h42min0s,26.195,0.0,
2624,11/24/22 03h43min0s,26.195,0.0,
2625,11/24/22 03h44min0s,26.195,0.0,
2626,11/24/22 03h45min0s,26.195,0.0,
2627,11/24/22 03h46min0s,26.195,0.0,
2628,11/24/22 03h47min0s,26.195,0.0,
2629,11/24/22 03h48min0s,26.195,0.0,
2630,11/24/22 03h49min0s,26.195,0.0,
2631,11/24/22 03h50min0s,26.195,0.0,
2632,11/24/22 03h51min0s,26.195,0.0,
2633,11/24/22 03h52min0s,26.195,0.0,
2634,11/24/22 03h53min0s,26.195,0.0,
2635,11/24/22 03h54min0s,26.195,0.0,
2636,11/24/22 03h55min0s,26.097,0.0,
2637,11/24/22 03h56min0s,26.097,0.0,
2638,11/24/22 03h57min0s,26.195,0.0,
2639,11/24/22 03h58min0s,26.097,0.0,
2640,11/24/22 03h59min0s,26.097,0.0,
2641,11/24/22 04h0min0s,26.097,0.0,
2642,11/24/22 04h1min0s,26.195,0.0,
2643,11/24/22 04h2min0s,26.195,0.0,
2644,11/24/22 04h3min0s,26.097,0.0,
2645,11/24/22 04h4min0s,26.097,0.0,
2646,11/24/22 04h5min0s,26.097,0.0,
2647,11/24/22 04h6min0s,26.097,0.0,
2648,11/24/22 04h7min0s,26.097,0.0,
2649,11/24/22 04h8min0s,26.097,0.0,
2650,11/24/22 04h9min0s,26.097,0.0,
2651,11/24/22 04h10min0s,26.097,0.0,
2652,11/24/22 04h11min0s,26.097,0.0,
2653,11/24/22 04h12min0s,26.097,0.0,
2654,11/24/22 04h13min0s,26.097,0.0,
2655,11/24/22 04h14min0s,26.097,0.0,
2656,11/24/22 04h15min0s,26.097,0.0,
2657,11/24/22 04h16min0s,26.097,0.0,
2658,11/24/22 04h17min0s,26.097,0.0,
2659,11/24/22 04h18min0s,26.097,0.0,
2660,11/24/22 04h19min0s,26.097,0.0,
2661,11/24/22 04h20min0s,26.097,0.0,
2662,11/24/22 04h21min0s,26.097,0.0,
2663,11/24/22 04h22min0s,26.097,0.0,
2664,11/24/22 04h23min0s,26.097,0.0,
2665,11/24/22 04h24min0s,26.097,0.0,
2666,11/24/22 04h25min0s,26.097,0.0,
2667,11/24/22 04h26min0s,26.097,0.0,
2668,11/24/22 04h27min0s,26.097,0.0,
2669,11/24/22 04h28min0s,26.097,0.0,
2670,11/24/22 04h29min0s,26.097,0.0,
2671,11/24/22 04h30min0s,26.097,0.0,
2672,11/24/22 04h31min0s,26.097,0.0,
2673,11/24/22 04h32min0s,26.097,0.0,
2674,11/24/22 04h33min0s,26.097,0.0,
2675,11/24/22 04h34min0s,26.097,0.0,
2676,11/24/22 04h35min0s,26.097,0.0,
2677,11/24/22 04h36min0s,26.097,0.0,
2678,11/24/22 04h37min0s,26.097,0.0,
2679,11/24/22 04h38min0s,26.097,0.0,
2680,11/24/22 04h39min0s,26.097,0.0,
2681,11/24/22 04h40min0s,26.097,0.0,
2682,11/24/22 04h41min0s,26.097,0.0,
2683,11/24/22 04h42min0s,26.097,0.0,
2684,11/24/22 04h43min0s,26.097,0.0,
2685,11/24/22 04h44min0s,26.097,0.0,
2686,11/24/22 04h45min0s,26.097,0.0,
2687,11/24/22 04h46min0s,26.097,0.0,
2688,11/24/22 04h47min0s,26.097,0.0,
2689,11/24/22 04h48min0s,26.097,0.0,
2690,11/24/22 04h49min0s,26.097,0.0,
2691,11/24/22 04h50min0s,26.097,0.0,
2692,11/24/22 04h51min0s,26.097,0.0,
2693,11/24/22 04h52min0s,26.097,0.0,
2694,11/24/22 04h53min0s,26.097,0.0,
2695,11/24/22 04h54min0s,26.097,0.0,
2696,11/24/22 04h55min0s,26.097,0.0,
2697,11/24/22 04h56min0s,26.097,0.0,
2698,11/24/22 04h57min0s,26.097,0.0,
2699,11/24/22 04h58min0s,26.097,0.0,
2700,11/24/22 04h59min0s,26.097,0.0,
2701,11/24/22 05h0min0s,26.097,0.0,
2702,11/24/22 05h1min0s,26.097,0.0,
2703,11/24/22 05h2min0s,26.097,0.0,
2704,11/24/22 05h3min0s,26.097,0.0,
2705,11/24/22 05h4min0s,26.097,0.0,
2706,11/24/22 05h5min0s,26.097,0.0,
2707,11/24/22 05h6min0s,26.097,0.0,
2708,11/24/22 05h7min0s,26.097,0.0,
2709,11/24/22 05h8min0s,26.097,0.0,
2710,11/24/22 05h9min0s,26.097,0.0,
2711,11/24/22 05h10min0s,26.097,0.0,
2712,11/24/22 05h11min0s,26.097,0.0,
2713,11/24/22 05h12min0s,26.097,0.0,
2714,11/24/22 05h13min0s,26.097,0.0,
2715,11/24/22 05h14min0s,26.097,0.0,
2716,11/24/22 05h15min0s,26.097,0.0,
2717,11/24/22 05h16min0s,26.097,0.0,
2718,11/24/22 05h17min0s,26.097,0.0,
2719,11/24/22 05h18min0s,26.097,0.0,
2720,11/24/22 05h19min0s,26.000,0.0,
2721,11/24/22 05h20min0s,26.097,0.0,
2722,11/24/22 05h21min0s,26.000,0.0,
2723,11/24/22 05h22min0s,26.097,0.0,
2724,11/24/22 05h23min0s,26.000,0.0,
2725,11/24/22 05h24min0s,26.000,0.0,
2726,11/24/22 05h25min0s,26.000,0.0,
2727,11/24/22 05h26min0s,26.000,0.0,
2728,11/24/22 05h27min0s,26.000,0.0,
2729,11/24/22 05h28min0s,26.000,0.0,
2730,11/24/22 05h29min0s,26.000,0.0,
2731,11/24/22 05h30min0s,26.000,0.0,
2732,11/24/22 05h31min0s,26.000,0.0,
2733,11/24/22 05h32min0s,26.000,0.0,
2734,11/24/22 05h33min0s,26.000,0.0,
2735,11/24/22 05h34min0s,26.000,0.0,
2736,11/24/22 05h35min0s,26.000,0.0,
2737,11/24/22 05h36min0s,26.000,0.0,
2738,11/24/22 05h37min0s,26.000,0.0,
2739,11/24/22 05h38min0s,26.000,0.0,
2740,11/24/22 05h39min0s,26.000,0.0,
2741,11/24/22 05h40min0s,26.000,0.0,
2742,11/24/22 05h41min0s,26.000,0.0,
2743,11/24/22 05h42min0s,26.000,0.0,
2744,11/24/22 05h43min0s,26.000,0.0,
2745,11/24/22 05h44min0s,26.000,0.0,
2746,11/24/22 05h45min0s,26.000,0.0,
2747,11/24/22 05h46min0s,26.000,0.0,
2748,11/24/22 05h47min0s,26.000,0.0,
2749,11/24/22 05h48min0s,26.000,0.0,
2750,11/24/22 05h49min0s,26.000,0.0,
2751,11/24/22 05h50min0s,26.000,0.0,
2752,11/24/22 05h51min0s,26.000,0.0,
2753,11/24/22 05h52min0s,26.000,0.0,
2754,11/24/22 05h53min0s,26.000,0.0,
2755,11/24/22 05h54min0s,26.000,0.0,
2756,11/24/22 05h55min0s,26.000,0.0,
2757,11/24/22 05h56min0s,26.000,0.0,
2758,11/24/22 05h57min0s,26.000,0.0,
2759,11/24/22 05h58min0s,26.000,0.0,
2760,11/24/22 05h59min0s,26.000,0.0,
2761,11/24/22 06h0min0s,26.000,0.0,
2762,11/24/22 06h1min0s,26.000,0.0,
2763,11/24/22 06h2min0s,26.000,0.0,
2764,11/24/22 06h3min0s,26.000,0.0,
2765,11/24/22 06h4min0s,26.000,0.0,
2766,11/24/22 06h5min0s,26.000,0.0,
2767,11/24/22 06h6min0s,26.000,0.0,
2768,11/24/22 06h7min0s,26.000,0.0,
2769,11/24/22 06h8min0s,26.000,0.0,
2770,11/24/22 06h9min0s,26.000,0.0,
2771,11/24/22 06h10min0s,26.000,0.0,
2772,11/24/22 06h11min0s,26.000,0.0,
2773,11/24/22 06h12min0s,26.000,0.0,
2774,11/24/22 06h13min0s,26.000,0.0,
2775,11/24/22 06h14min0s,26.000,0.0,
2776,11/24/22 06h15min0s,26.000,0.0,
2777,11/24/22 06h16min0s,26.000,0.0,
2778,11/24/22 06h17min0s,26.000,0.0,
2779,11/24/22 06h18min0s,26.000,0.0,
2780,11/24/22 06h19min0s,26.000,0.0,
2781,11/24/22 06h20min0s,26.000,0.0,
2782,11/24/22 06h21min0s,26.000,0.0,
2783,11/24/22 06h22min0s,26.000,0.0,
2784,11/24/22 06h23min0s,26.000,0.0,
2785,11/24/22 06h24min0s,26.000,0.0,
2786,11/24/22 06h25min0s,26.000,0.0,
2787,11/24/22 06h26min0s,26.000,0.0,
2788,11/24/22 06h27min0s,26.000,0.0,
2789,11/24/22 06h28min0s,26.000,0.0,
2790,11/24/22 06h29min0s,26.000,0.0,
2791,11/24/22 06h30min0s,26.000,0.0,
2792,11/24/22 06h31min0s,26.000,0.0,
2793,11/24/22 06h32min0s,26.000,0.0,
2794,11/24/22 06h33min0s,26.000,0.0,
2795,11/24/22 06h34min0s,26.000,0.0,
2796,11/24/22 06h35min0s,26.000,0.0,
2797,11/24/22 06h36min0s,26.000,0.0,
2798,11/24/22 06h37min0s,26.000,0.0,
2799,11/24/22 06h38min0s,26.000,0.0,
2800,11/24/22 06h39min0s,26.000,0.0,
2801,11/24/22 06h40min0s,26.000,0.0,
2802,11/24/22 06h41min0s,26.000,0.0,
2803,11/24/22 06h42min0s,26.000,0.0,
2804,11/24/22 06h43min0s,26.000,0.0,
2805,11/24/22 06h44min0s,26.000,0.0,
2806,11/24/22 06h45min0s,26.000,0.0,
2807,11/24/22 06h46min0s,26.000,0.0,
2808,11/24/22 06h47min0s,25.902,0.0,
2809,11/24/22 06h48min0s,25.902,0.0,
2810,11/24/22 06h49min0s,25.902,0.0,
2811,11/24/22 06h50min0s,25.902,0.0,
2812,11/24/22 06h51min0s,25.902,0.0,
2813,11/24/22 06h52min0s,25.902,0.0,
2814,11/24/22 06h53min0s,25.902,0.0,
2815,11/24/22 06h54min0s,25.902,0.0,
2816,11/24/22 06h55min0s,25.902,0.0,
2817,11/24/22 06h56min0s,25.805,0.0,
2818,11/24/22 06h57min0s,25.805,0.0,
2819,11/24/22 06h58min0s,25.805,0.0,
2820,11/24/22 06h59min0s,25.805,0.0,
2821,11/24/22 07h0min0s,25.805,0.0,
2822,11/24/22 07h1min0s,25.805,0.0,
2823,11/24/22 07h2min0s,25.708,0.0,
2824,11/24/22 07h3min0s,25.708,0.0,
2825,11/24/22 07h4min0s,25.708,0.0,
2826,11/24/22 07h5min0s,25.708,0.0,
2827,11/24/22 07h6min0s,25.708,0.0,
2828,11/24/22 07h7min0s,25.708,0.0,
2829,11/24/22 07h8min0s,25.708,0.0,
2830,11/24/22 07h9min0s,25.708,0.0,
2831,11/24/22 07h10min0s,25.610,0.0,
2832,11/24/22 07h11min0s,25.610,0.0,
2833,11/24/22 07h12min0s,25.610,0.0,
2834,11/24/22 07h13min0s,25.610,0.0,
2835,11/24/22 07h14min0s,25.610,0.0,
2836,11/24/22 07h15min0s,25.610,0.0,
2837,11/24/22 07h16min0s,25.610,0.0,
2838,11/24/22 07h17min0s,25.513,0.0,
2839,11/24/22 07h18min0s,25.610,0.0,
2840,11/24/22 07h19min0s,25.513,0.0,
2841,11/24/22 07h20min0s,25.513,0.0,
2842,11/24/22 07h21min0s,25.513,0.0,
2843,11/24/22 07h22min0s,25.513,0.0,
2844,11/24/22 07h23min0s,25.513,0.0,
2845,11/24/22 07h24min0s,25.513,0.0,
2846,11/24/22 07h25min0s,25.513,0.0,
2847,11/24/22 07h26min0s,25.513,0.0,
2848,11/24/22 07h27min0s,25.513,0.0,
2849,11/24/22 07h28min0s,25.513,0.0,
2850,11/24/22 07h29min0s,25.513,0.0,
2851,11/24/22 07h30min0s,25.513,0.0,
2852,11/24/22 07h31min0s,25.513,0.0,
2853,11/24/22 07h32min0s,25.513,0.0,
2854,11/24/22 07h33min0s,25.513,0.0,
2855,11/24/22 07h34min0s,25.513,0.0,
2856,11/24/22 07h35min0s,25.513,0.0,
2857,11/24/22 07h36min0s,25.513,0.0,
2858,11/24/22 07h37min0s,25.513,0.0,
2859,11/24/22 07h38min0s,25.416,0.0,
2860,11/24/22 07h39min0s,25.416,0.0,
2861,11/24/22 07h40min0s,25.416,0.0,
2862,11/24/22 07h41min0s,25.416,0.0,
2863,11/24/22 07h42min0s,25.416,0.0,
2864,11/24/22 07h43min0s,25.416,0.0,
2865,11/24/22 07h44min0s,25.416,0.0,
2866,11/24/22 07h45min0s,25.416,0.0,
2867,11/24/22 07h46min0s,25.416,0.0,
2868,11/24/22 07h47min0s,25.416,0.0,
2869,11/24/22 07h48min0s,25.416,0.0,
2870,11/24/22 07h49min0s,25.416,0.0,
2871,11/24/22 07h50min0s,25.416,0.0,
2872,11/24/22 07h51min0s,25.416,0.0,
2873,11/24/22 07h52min0s,25.416,0.0,
2874,11/24/22 07h53min0s,25.416,0.0,
2875,11/24/22 07h54min0s,25.416,0.0,
2876,11/24/22 07h55min0s,25.416,0.0,
2877,11/24/22 07h56min0s,25.416,0.0,
2878,11/24/22 07h57min0s,25.416,0.0,
2879,11/24/22 07h58min0s,25.416,0.0,
2880,11/24/22 07h59min0s,25.416,0.0,
2881,11/24/22 08h0min0s,25.416,0.0,
2882,11/24/22 08h1min0s,25.416,0.0,
2883,11/24/22 08h2min0s,25.416,0.0,
2884,11/24/22 08h3min0s,25.416,0.0,
2885,11/24/22 08h4min0s,25.416,0.0,
2886,11/24/22 08h5min0s,25.416,0.0,
2887,11/24/22 08h6min0s,25.416,0.0,
2888,11/24/22 08h7min0s,25.416,0.0,
2889,11/24/22 08h8min0s,25.416,0.0,
2890,11/24/22 08h9min0s,25.416,0.0,
2891,11/24/22 08h10min0s,25.416,0.0,
2892,11/24/22 08h11min0s,25.416,0.0,
2893,11/24/22 08h12min0s,25.416,0.0,
2894,11/24/22 08h13min0s,25.416,0.0,
2895,11/24/22 08h14min0s,25.416,0.0,
2896,11/24/22 08h15min0s,25.416,0.0,
2897,11/24/22 08h16min0s,25.416,0.0,
2898,11/24/22 08h17min0s,25.416,0.0,
2899,11/24/22 08h18min0s,25.416,0.0,
2900,11/24/22 08h19min0s,25.416,0.0,
2901,11/24/22 08h20min0s,25.416,0.0,
2902,11/24/22 08h21min0s,25.416,0.0,
2903,11/24/22 08h22min0s,25.416,0.0,
2904,11/24/22 08h23min0s,25.416,0.0,
2905,11/24/22 08h24min0s,25.416,0.0,
2906,11/24/22 08h25min0s,25.416,0.0,
2907,11/24/22 08h26min0s,25.416,0.0,
2908,11/24/22 08h27min0s,25.416,0.0,
2909,11/24/22 08h28min0s,25.416,0.0,
2910,11/24/22 08h29min0s,25.416,0.0,
2911,11/24/22 08h30min0s,25.416,0.0,
2912,11/24/22 08h31min0s,25.416,0.0,
2913,11/24/22 08h32min0s,25.416,0.0,
2914,11/24/22 08h33min0s,25.416,0.0,
2915,11/24/22 08h34min0s,25.416,0.0,
2916,11/24/22 08h35min0s,25.416,0.0,
2917,11/24/22 08h36min0s,25.416,0.0,
2918,11/24/22 08h37min0s,25.416,0.0,
2919,11/24/22 08h38min0s,25.416,0.0,
2920,11/24/22 08h39min0s,25.416,0.0,
2921,11/24/22 08h40min0s,25.416,0.0,
2922,11/24/22 08h41min0s,25.416,0.0,
2923,11/24/22 08h42min0s,25.416,0.0,
2924,11/24/22 08h43min0s,25.416,0.0,
2925,11/24/22 08h44min0s,25.416,0.0,
2926,11/24/22 08h45min0s,25.416,0.0,
2927,11/24/22 08h46min0s,25.416,0.0,
2928,11/24/22 08h47min0s,25.416,0.0,
2929,11/24/22 08h48min0s,25.416,0.0,
2930,11/24/22 08h49min0s,25.416,0.0,
2931,11/24/22 08h50min0s,25.416,0.0,
2932,11/24/22 08h51min0s,25.416,0.0,
2933,11/24/22 08h52min0s,25.416,0.0,
2934,11/24/22 08h53min0s,25.416,0.0,
2935,11/24/22 08h54min0s,25.416,0.0,
2936,11/24/22 08h55min0s,25.416,0.0,
2937,11/24/22 08h56min0s,25.416,0.0,
2938,11/24/22 08h57min0s,25.416,0.0,
2939,11/24/22 08h58min0s,25.416,0.0,
2940,11/24/22 08h59min0s,25.416,0.0,
2941,11/24/22 09h0min0s,25.416,0.0,
2942,11/24/22 09h1min0s,25.416,0.0,
2943,11/24/22 09h2min0s,25.416,0.0,
2944,11/24/22 09h3min0s,25.416,0.0,
2945,11/24/22 09h4min0s,25.416,0.0,
2946,11/24/22 09h5min0s,25.416,0.0,
2947,11/24/22 09h6min0s,25.319,0.0,
2948,11/24/22 09h7min0s,25.416,0.0,
2949,11/24/22 09h8min0s,25.319,0.0,
2950,11/24/22 09h9min0s,25.416,0.0,
2951,11/24/22 09h10min0s,25.319,0.0,
2952,11/24/22 09h11min0s,25.319,0.0,
2953,11/24/22 09h12min0s,25.319,0.0,
2954,11/24/22 09h13min0s,25.319,0.0,
2955,11/24/22 09h14min0s,25.319,0.0,
2956,11/24/22 09h15min0s,25.416,0.0,
2957,11/24/22 09h16min0s,25.319,0.0,
2958,11/24/22 09h17min0s,25.416,0.0,
2959,11/24/22 09h18min0s,25.416,0.0,
2960,11/24/22 09h19min0s,25.319,0.0,
2961,11/24/22 09h20min0s,25.416,0.0,
2962,11/24/22 09h21min0s,25.416,0.0,
2963,11/24/22 09h22min0s,25.416,0.0,
2964,11/24/22 09h23min0s,25.416,0.0,
2965,11/24/22 09h24min0s,25.416,0.0,
2966,11/24/22 09h25min0s,25.319,0.0,
2967,11/24/22 09h26min0s,25.416,0.0,
2968,11/24/22 09h27min0s,25.319,0.0,
2969,11/24/22 09h28min0s,25.319,0.0,
2970,11/24/22 09h29min0s,25.319,0.0,
2971,11/24/22 09h30min0s,25.319,0.0,
2972,11/24/22 09h31min0s,25.319,0.0,
2973,11/24/22 09h32min0s,25.319,0.0,
2974,11/24/22 09h33min0s,25.319,0.0,
2975,11/24/22 09h34min0s,25.319,0.0,
2976,11/24/22 09h35min0s,25.319,0.0,
2977,11/24/22 09h36min0s,25.319,0.0,
2978,11/24/22 09h37min0s,25.319,0.0,
2979,11/24/22 09h38min0s,25.222,0.0,
2980,11/24/22 09h39min0s,25.125,0.0,
2981,11/24/22 09h40min0s,25.125,0.0,
2982,11/24/22 09h41min0s,25.028,0.0,
2983,11/24/22 09h42min0s,24.931,0.0,
2984,11/24/22 09h43min0s,24.835,0.0,
2985,11/24/22 09h44min0s,24.835,0.0,
2986,11/24/22 09h45min0s,24.738,0.0,
2987,11/24/22 09h46min0s,24.641,0.0,
2988,11/24/22 09h47min0s,24.641,0.0,
2989,11/24/22 09h48min0s,24.545,0.0,
2990,11/24/22 09h49min0s,24.545,0.0,
2991,11/24/22 09h50min0s,24.545,0.0,
2992,11/24/22 09h51min0s,24.448,0.0,
2993,11/24/22 09h52min0s,24.448,0.0,
2994,11/24/22 09h53min0s,24.448,0.0,
2995,11/24/22 09h54min0s,24.351,0.0,
2996,11/24/22 09h55min0s,24.351,0.0,
2997,11/24/22 09h56min0s,24.351,0.0,
2998,11/24/22 09h57min0s,24.351,0.0,
2999,11/24/22 09h58min0s,24.351,0.0,
3000,11/24/22 09h59min0s,24.255,0.0,
3001,11/24/22 10h0min0s,24.255,0.0,
3002,11/24/22 10h1min0s,24.255,0.0,
3003,11/24/22 10h2min0s,24.255,0.0,
3004,11/24/22 10h3min0s,24.255,0.0,
3005,11/24/22 10h4min0s,24.255,0.0,
3006,11/24/22 10h5min0s,24.255,0.0,
3007,11/24/22 10h6min0s,24.255,0.0,
3008,11/24/22 10h7min0s,24.255,0.0,
3009,11/24/22 10h8min0s,24.255,0.0,
3010,11/24/22 10h9min0s,24.255,0.0,
3011,11/24/22 10h10min0s,24.255,0.0,
3012,11/24/22 10h11min0s,24.255,0.0,
3013,11/24/22 10h12min0s,24.255,0.0,
3014,11/24/22 10h13min0s,24.255,0.0,
3015,11/24/22 10h14min0s,24.255,0.0,
3016,11/24/22 10h15min0s,24.255,0.0,
3017,11/24/22 10h16min0s,24.255,0.0,
3018,11/24/22 10h17min0s,24.255,0.0,
3019,11/24/22 10h18min0s,24.255,0.0,
3020,11/24/22 10h19min0s,24.255,0.0,
3021,11/24/22 10h20min0s,24.255,0.0,
3022,11/24/22 10h21min0s,24.255,0.0,
3023,11/24/22 10h22min0s,24.255,0.0,
3024,11/24/22 10h23min0s,24.255,0.0,
3025,11/24/22 10h24min0s,24.351,0.0,
3026,11/24/22 10h25min0s,24.351,0.0,
3027,11/24/22 10h26min0s,24.351,0.0,
3028,11/24/22 10h27min0s,24.351,0.0,
3029,11/24/22 10h28min0s,24.351,0.0,
3030,11/24/22 10h29min0s,24.351,0.0,
3031,11/24/22 10h30min0s,24.351,0.0,
3032,11/24/22 10h31min0s,24.351,0.0,
3033,11/24/22 10h32min0s,24.351,0.0,
3034,11/24/22 10h33min0s,24.351,0.0,
3035,11/24/22 10h34min0s,24.351,0.0,
3036,11/24/22 10h35min0s,24.351,0.0,
3037,11/24/22 10h36min0s,24.351,0.0,
3038,11/24/22 10h37min0s,24.351,0.0,
3039,11/24/22 10h38min0s,24.351,0.0,
3040,11/24/22 10h39min0s,24.351,0.0,
3041,11/24/22 10h40min0s,24.351,0.0,
3042,11/24/22 10h41min0s,24.351,0.0,
3043,11/24/22 10h42min0s,24.448,0.0,
3044,11/24/22 10h43min0s,24.448,0.0,
3045,11/24/22 10h44min0s,24.448,0.0,
3046,11/24/22 10h45min0s,24.448,0.0,
3047,11/24/22 10h46min0s,24.448,0.0,
3048,11/24/22 10h47min0s,24.448,0.0,
3049,11/24/22 10h48min0s,24.448,0.0,
3050,11/24/22 10h49min0s,24.448,0.0,
3051,11/24/22 10h50min0s,24.448,0.0,
3052,11/24/22 10h51min0s,24.448,0.0,
3053,11/24/22 10h52min0s,24.448,0.0,
3054,11/24/22 10h53min0s,24.448,0.0,
3055,11/24/22 10h54min0s,24.448,0.0,
3056,11/24/22 10h55min0s,24.448,0.0,
3057,11/24/22 10h56min0s,24.448,0.0,
3058,11/24/22 10h57min0s,24.448,0.0,
3059,11/24/22 10h58min0s,24.448,0.0,
3060,11/24/22 10h59min0s,24.448,0.0,
3061,11/24/22 11h0min0s,24.448,0.0,
3062,11/24/22 11h1min0s,24.448,0.0,
3063,11/24/22 11h2min0s,24.545,0.0,
