"Título do Desenho: controle 4"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055112, SEN S/N: 20055112)","Intensidade, Lux (LGR S/N: 20055112, SEN S/N: 20055112)","Acoplador Ligado (LGR S/N: 20055112)","Anfitrião Ligado (LGR S/N: 20055112)","Parado (LGR S/N: 20055112)","Fim Do Ficheiro (LGR S/N: 20055112)"
110,11/19/22 11h49min0s,24.351,2325.0,,,,
111,11/19/22 11h50min0s,24.448,2325.0,,,,
112,11/19/22 11h51min0s,24.448,2325.0,,,,
113,11/19/22 11h52min0s,24.545,2238.9,,,,
114,11/19/22 11h53min0s,24.545,2152.8,,,,
115,11/19/22 11h54min0s,24.545,2066.7,,,,
116,11/19/22 11h55min0s,24.545,1980.6,,,,
117,11/19/22 11h56min0s,24.545,1808.3,,,,
118,11/19/22 11h57min0s,24.545,1722.2,,,,
119,11/19/22 11h58min0s,24.448,1550.0,,,,
120,11/19/22 11h59min0s,24.448,1550.0,,,,
121,11/19/22 12h0min0s,24.351,1550.0,,,,
122,11/19/22 12h1min0s,24.351,1463.9,,,,
123,11/19/22 12h2min0s,24.351,1463.9,,,,
124,11/19/22 12h3min0s,24.351,1550.0,,,,
125,11/19/22 12h4min0s,24.351,1636.1,,,,
126,11/19/22 12h5min0s,24.351,1636.1,,,,
127,11/19/22 12h6min0s,24.351,1808.3,,,,
128,11/19/22 12h7min0s,24.351,1808.3,,,,
129,11/19/22 12h8min0s,24.351,1808.3,,,,
130,11/19/22 12h9min0s,24.351,1722.2,,,,
131,11/19/22 12h10min0s,24.351,1894.5,,,,
132,11/19/22 12h11min0s,24.448,1894.5,,,,
133,11/19/22 12h12min0s,24.448,1808.3,,,,
134,11/19/22 12h13min0s,24.448,1894.5,,,,
135,11/19/22 12h14min0s,24.448,1980.6,,,,
136,11/19/22 12h15min0s,24.448,13777.9,,,,
137,11/19/22 12h16min0s,25.028,14466.8,,,,
138,11/19/22 12h17min0s,25.416,16533.4,,,,
139,11/19/22 12h18min0s,25.513,4994.5,,,,
140,11/19/22 12h19min0s,25.708,8266.7,,,,
141,11/19/22 12h20min0s,25.805,8266.7,,,,
142,11/19/22 12h21min0s,25.805,3788.9,,,,
143,11/19/22 12h22min0s,26.097,8611.2,,,,
144,11/19/22 12h23min0s,26.097,7233.4,,,,
145,11/19/22 12h24min0s,26.195,41333.6,,,,
146,11/19/22 12h25min0s,26.390,27555.7,,,,
147,11/19/22 12h26min0s,26.292,1356.3,,,,
148,11/19/22 12h27min0s,26.195,839.6,,,,
149,11/19/22 12h28min0s,26.195,785.8,,,,
150,11/19/22 12h29min0s,26.195,667.4,,,,
151,11/19/22 12h30min0s,26.195,925.7,,,,
152,11/19/22 12h31min0s,26.195,1108.7,,,,
153,11/19/22 12h32min0s,26.195,1033.3,,,,
154,11/19/22 12h33min0s,26.195,1377.8,,,,
155,11/19/22 12h34min0s,26.292,990.3,,,,
156,11/19/22 12h35min0s,26.292,1313.2,,,,
157,11/19/22 12h36min0s,26.292,4994.5,,,,
158,11/19/22 12h37min0s,26.292,1980.6,,,,
159,11/19/22 12h38min0s,26.292,818.1,,,,
160,11/19/22 12h39min0s,26.292,850.4,,,,
161,11/19/22 12h40min0s,26.195,947.2,,,,
162,11/19/22 12h41min0s,26.195,1011.8,,,,
163,11/19/22 12h42min0s,26.292,1151.7,,,,
164,11/19/22 12h43min0s,26.292,527.4,,,,
165,11/19/22 12h44min0s,26.292,6544.5,,,,
166,11/19/22 12h45min0s,26.292,12400.1,,,,
167,11/19/22 12h46min0s,26.390,12400.1,,,,
168,11/19/22 12h47min0s,26.390,2755.6,,,,
169,11/19/22 12h48min0s,26.390,12400.1,,,,
170,11/19/22 12h49min0s,26.390,9300.1,,,,
171,11/19/22 12h50min0s,26.390,10333.4,,,,
