"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, Lux (LGR S/N: 20055113, SEN S/N: 20055113)","Anfitrião Ligado (LGR S/N: 20055113)","Acoplador Ligado (LGR S/N: 20055113)","Parado (LGR S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
95,11/21/22 11h34min0s,24.738,430.6,,,,
96,11/21/22 11h35min0s,24.738,495.1,,,,
97,11/21/22 11h36min0s,24.738,462.9,,,,
98,11/21/22 11h37min0s,24.835,462.9,,,,
99,11/21/22 11h38min0s,24.835,495.1,,,,
100,11/21/22 11h39min0s,24.835,452.1,,,,
101,11/21/22 11h40min0s,24.931,473.6,,,,
102,11/21/22 11h41min0s,24.931,473.6,,,,
103,11/21/22 11h42min0s,24.931,419.8,,,,
104,11/21/22 11h43min0s,25.028,398.3,,,,
105,11/21/22 11h44min0s,25.028,559.7,,,,
106,11/21/22 11h45min0s,25.028,570.5,,,,
107,11/21/22 11h46min0s,25.028,516.7,,,,
108,11/21/22 11h47min0s,25.028,581.3,,,,
109,11/21/22 11h48min0s,25.028,570.5,,,,
110,11/21/22 11h49min0s,25.125,570.5,,,,
111,11/21/22 11h50min0s,25.610,42711.4,,,,
112,11/21/22 11h51min0s,27.075,44089.2,,,,
113,11/21/22 11h52min0s,26.585,2755.6,,,,
114,11/21/22 11h53min0s,27.075,104711.8,,,,
115,11/21/22 11h54min0s,27.272,22044.6,,,,
116,11/21/22 11h55min0s,26.977,2238.9,,,,
117,11/21/22 11h56min0s,27.075,4305.6,,,,
118,11/21/22 11h57min0s,26.781,3444.5,,,,
119,11/21/22 11h58min0s,26.683,4305.6,,,,
120,11/21/22 11h59min0s,26.585,3616.7,,,,
121,11/21/22 12h0min0s,26.585,3616.7,,,,
122,11/21/22 12h1min0s,26.488,1722.2,,,,
123,11/21/22 12h2min0s,26.488,2497.2,,,,
124,11/21/22 12h3min0s,26.781,93689.5,,,,
125,11/21/22 12h4min0s,27.075,27555.7,,,,
126,11/21/22 12h5min0s,26.879,55111.5,,,,
127,11/21/22 12h6min0s,26.879,39955.8,,,,
128,11/21/22 12h7min0s,27.468,60622.6,,,,
129,11/21/22 12h8min0s,27.567,60622.6,,,,
130,11/21/22 12h9min0s,27.764,7233.4,,,,
131,11/21/22 12h10min0s,27.665,74400.5,,,,
132,11/21/22 12h11min0s,27.468,49600.3,,,,
133,11/21/22 12h12min0s,27.370,28933.5,,,,
134,11/21/22 12h13min0s,27.567,44089.2,,,,
135,11/21/22 12h14min0s,27.665,35822.5,,,,
136,11/21/22 12h15min0s,27.764,41333.6,,,,
137,11/21/22 12h16min0s,27.764,21355.7,,,,
138,11/21/22 12h17min0s,27.665,22044.6,,,,
139,11/21/22 12h18min0s,27.567,34444.7,,,,
140,11/21/22 12h19min0s,27.665,42711.4,,,,
141,11/21/22 12h20min0s,27.665,49600.3,,,,
142,11/21/22 12h21min0s,27.665,31689.1,,,,
143,11/21/22 12h22min0s,27.665,37200.2,,,,
144,11/21/22 12h23min0s,27.665,41333.6,,,,
145,11/21/22 12h24min0s,27.764,21355.7,,,,
146,11/21/22 12h25min0s,27.764,34444.7,,,,
147,11/21/22 12h26min0s,27.764,35822.5,,,,
148,11/21/22 12h27min0s,27.764,37200.2,,,,
149,11/21/22 12h28min0s,27.665,46844.8,,,,
150,11/21/22 12h29min0s,27.567,44089.2,,,,
151,11/21/22 12h30min0s,27.665,41333.6,,,,
152,11/21/22 12h31min0s,27.764,35822.5,,,,
153,11/21/22 12h32min0s,27.764,27555.7,,,,
154,11/21/22 12h33min0s,27.764,35822.5,,,,
155,11/21/22 12h34min0s,27.665,19289.0,,,,
156,11/21/22 12h35min0s,27.665,24800.2,,,,
157,11/21/22 12h36min0s,27.567,37200.2,,,,
158,11/21/22 12h37min0s,27.567,22044.6,,,,
159,11/21/22 12h38min0s,27.567,22044.6,,,,
160,11/21/22 12h39min0s,27.567,33066.9,,,,
161,11/21/22 12h40min0s,27.567,23422.4,,,,
162,11/21/22 12h41min0s,27.665,30311.3,,,,
163,11/21/22 12h42min0s,27.764,41333.6,,,,
164,11/21/22 12h43min0s,27.862,60622.6,,,,
165,11/21/22 12h44min0s,27.862,49600.3,,,,
166,11/21/22 12h45min0s,27.961,60622.6,,,,
167,11/21/22 12h46min0s,27.961,57867.0,,,,
168,11/21/22 12h47min0s,27.961,49600.3,,,,
169,11/21/22 12h48min0s,27.961,57867.0,,,,
170,11/21/22 12h49min0s,27.961,55111.5,,,,
171,11/21/22 12h50min0s,27.961,34444.7,,,,
172,11/21/22 12h51min0s,27.961,49600.3,,,,
173,11/21/22 12h52min0s,27.961,37200.2,,,,
174,11/21/22 12h53min0s,27.862,31689.1,,,,
175,11/21/22 12h54min0s,27.764,41333.6,,,,
176,11/21/22 12h55min0s,27.665,28933.5,,,,
177,11/21/22 12h56min0s,27.665,35822.5,,,,
178,11/21/22 12h57min0s,27.665,34444.7,,,,
179,11/21/22 12h58min0s,27.665,55111.5,,,,
180,11/21/22 12h59min0s,27.665,71644.9,,,,
181,11/21/22 01h0min0s,27.764,41333.6,,,,
182,11/21/22 01h1min0s,27.764,55111.5,,,,
183,11/21/22 01h2min0s,27.665,33066.9,,,,
184,11/21/22 01h3min0s,27.665,34444.7,,,,
185,11/21/22 01h4min0s,27.567,41333.6,,,,
186,11/21/22 01h5min0s,27.468,34444.7,,,,
187,11/21/22 01h6min0s,27.468,41333.6,,,,
188,11/21/22 01h7min0s,27.468,26178.0,,,,
189,11/21/22 01h8min0s,27.468,44089.2,,,,
190,11/21/22 01h9min0s,27.567,34444.7,,,,
191,11/21/22 01h10min0s,27.665,57867.0,,,,
192,11/21/22 01h11min0s,27.665,42711.4,,,,
193,11/21/22 01h12min0s,27.665,28933.5,,,,
194,11/21/22 01h13min0s,27.665,38578.0,,,,
195,11/21/22 01h14min0s,27.567,27555.7,,,,
196,11/21/22 01h15min0s,27.567,28933.5,,,,
